CityID;CityName;StateProvinceID;Latitude;Longitude;LatestRecordedPopulation
683;Alvord;16;43.3421993;-96.3011403;196
684;Alvord;45;33.3584454;-97.6947537;1334
685;Alvordton;36;41.6658839;-84.436893;217
686;Alvwood;24;47.7305094;-94.2680052;NULL
687;Alzada;27;45.0230422;-104.4124527;29
688;Ama;19;29.9521491;-90.2964674;1316
689;Amado;3;31.7078658;-111.0645359;295
690;Amador City;5;38.4193553;-120.824103;185
691;Amagansett;33;40.9737117;-72.1436884;1165
692;Amagon;4;35.5620249;-91.1104012;98
693;Amalga;46;41.861039;-111.8957808;488
694;Amana;16;41.8000071;-91.8707335;442
695;Amanda;36;39.649508;-82.7443367;737
696;Amanda Park;50;47.4631419;-123.8860114;252
697;Amargosa Valley;29;36.6438422;-116.4003253;NULL
698;Amarillo;45;35.2219971;-101.8312969;190695
699;Amasa;23;46.2327267;-88.4487476;283
700;Amawalk;33;41.2884273;-73.7662443;NULL
701;Amazonia;26;39.8861052;-94.891913;312
702;Amber;16;42.1280617;-91.1801535;NULL
703;Amber;50;47.3518317;-117.7115986;NULL
704;Amber;37;35.1642889006;-97.9029934885;419
705;Amberg;52;45.503021;-87.9937262;180
706;Amberley;36;39.2047809;-84.427997;3585
707;Ambia;15;40.4900363;-87.5169642;239
708;Ambler;39;40.1545535;-75.2215651;6417
709;Ambler;2;67.0861111;-157.8513889;258
710;Amboy;5;34.5577721;-115.7444411;NULL
711;Amboy;24;43.8880148;-94.1566258;534
712;Amboy;14;41.7141997;-89.3287061;2500
713;Amboy;15;40.6014291;-85.9288757;384
714;Amboy;50;45.9101125;-122.446487;1608
715;Ambridge;39;40.5892339;-80.22506;7050
716;Ambridge Heights;39;40.5917339;-80.2117264;NULL
717;Ambrose;35;48.9539222;-103.4826921;26
718;Ambrose;11;31.5938031;-83.0143147;380
719;Amchitka;2;51.5672222;178.8775;NULL
720;Amelia;28;42.23556;-98.9120422;NULL
721;Amelia;19;29.6663204;-91.1020449;2459
722;Amelia;36;39.0283966;-84.2177136;4801
723;Amelia City;10;30.5902381;-81.4573127;NULL
724;Amelia Court House;49;37.3429281;-77.9805579;1099
725;Amenia;35;47.0049744;-97.2189763;94
